99;Калужская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.41, "name": "Калужская", "lat": 55.656682, "lng": 37.540075}
100;Беляево;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.21, "name": "Беляево", "lat": 55.642357, "lng": 37.526115}
101;Коньково;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.56, "name": "Коньково", "lat": 55.631857, "lng": 37.519156}
102;Теплый Стан;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.140, "name": "Теплый Стан", "lat": 55.61873, "lng": 37.505912}
103;Ясенево;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.164, "name": "Ясенево", "lat": 55.606182, "lng": 37.5334}
104;Новоясеневская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.23, "name": "Новоясеневская", "lat": 55.601947, "lng": 37.553017}
105;Бульвар Рокоссовского;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.148, "name": "Бульвар Рокоссовского", "double": "true", "lat": 55.814916, "lng": 37.732227}
106;Черкизовская;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.155, "name": "Черкизовская", "lat": 55.802787, "lng": 37.744863}
107;Преображенская площадь;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.117, "name": "Преображенская площадь", "lat": 55.796322, "lng": 37.713582}
108;Сокольники;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.134, "name": "Сокольники", "lat": 55.789282, "lng": 37.679895}
109;Красносельская;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.60, "name": "Красносельская", "lat": 55.780014, "lng": 37.666097}
110;Комсомольская;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.54, "name": "Комсомольская", "double": "true", "lat": 55.774072, "lng": 37.654565}
111;Красные ворота;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.61, "name": "Красные ворота", "lat": 55.768307, "lng": 37.6478}
112;Чистые пруды;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.143, "name": "Чистые пруды", "lat": 55.76499, "lng": 37.638293}
113;Лубянка;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.66, "name": "Лубянка", "lat": 55.759889, "lng": 37.625336}
114;Охотный ряд;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.98, "name": "Охотный ряд", "lat": 55.757228, "lng": 37.615078}
115;Библиотека им.Ленина;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.4, "name": "Библиотека им.Ленина", "lat": 55.752123, "lng": 37.610388}
116;Кропоткинская;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.64, "name": "Кропоткинская", "lat": 55.745297, "lng": 37.604217}
117;Парк культуры;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.103, "name": "Парк культуры", "double": "true", "lat": 55.736163, "lng": 37.595027}
118;Фрунзенская;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.152, "name": "Фрунзенская", "double": "true", "lat": 55.727462, "lng": 37.58022}
119;Спортивная;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.135, "name": "Спортивная", "double": "true", "lat": 55.722388, "lng": 37.562041}
120;Воробьевы горы;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.165, "name": "Воробьевы горы", "lat": 55.709169, "lng": 37.557293}
121;Университет;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.149, "name": "Университет", "double": "true", "lat": 55.69329, "lng": 37.534511}
122;Проспект Вернадского;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.118, "name": "Проспект Вернадского", "lat": 55.676549, "lng": 37.504584}
123;Юго-Западная;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.162, "name": "Юго-Западная", "lat": 55.663146, "lng": 37.482852}
124;Тропарево;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.505, "name": "Тропарево", "lat": 55.6459, "lng": 37.4725}
125;Румянцево;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.513, "name": "Румянцево", "lat": 55.633, "lng": 37.4419}
126;Саларьево;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.514, "name": "Саларьево", "lat": 55.6227, "lng": 37.424}
127;Филатов луг;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.678, "name": "Филатов луг", "lat": 55.5997, "lng": 37.4075}
128;Прокшино;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.679, "name": "Прокшино", "lat": 55.5813, "lng": 37.4425}
129;Ольховая;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.680, "name": "Ольховая", "lat": 55.5692, "lng": 37.4589}
130;Коммунарка;{"city": "Москва", "line": {"id": 1, "name": "Сокольническая", "hex-color": "E42313"}, "id": 1.681, "name": "Коммунарка", "lat": 55.559765, "lng": 37.468716}
131;Щелковская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.159, "name": "Щелковская", "lat": 55.809962, "lng": 37.798261}
132;Первомайская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.106, "name": "Первомайская", "double": "true", "lat": 55.794376, "lng": 37.799364}
133;Измайловская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.40, "name": "Измайловская", "lat": 55.787713, "lng": 37.779896}
134;Партизанская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.105, "name": "Партизанская", "double": "true", "lat": 55.788401, "lng": 37.74882}
135;Семеновская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.130, "name": "Семеновская", "lat": 55.783096, "lng": 37.719289}
136;Электрозаводская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.161, "name": "Электрозаводская", "double": "true", "lat": 55.782057, "lng": 37.7053}
137;Бауманская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.17, "name": "Бауманская", "lat": 55.772405, "lng": 37.67904}
138;Площадь Революции;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.100, "name": "Площадь Революции", "lat": 55.756741, "lng": 37.62236}
139;Курская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.70, "name": "Курская", "double": "true", "lat": 55.758564, "lng": 37.659039}
140;Арбатская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.5, "name": "Арбатская", "double": "true", "lat": 55.752312, "lng": 37.60349}
141;Смоленская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.131, "name": "Смоленская", "double": "true", "lat": 55.747713, "lng": 37.583802}
142;Киевская;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.47, "name": "Киевская", "double": "true", "lat": 55.743117, "lng": 37.564132}
143;Парк Победы;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.173, "name": "Парк Победы", "double": "true", "lat": 55.735679, "lng": 37.516865}
144;Славянский бульвар;{"city": "Москва", "line": {"id": 3, "name": "Арбатско-Покровская", "hex-color": "0072BA"}, "id": 3.176, "name": "Славянский бульвар", "double": "true", "lat": 55.729542, "lng": 37.470973}
